Nation,Total Units,Total Fatalities,Total Serious Injuries,Total Minor Injuries,Year,Month,Day,Time,Speed Limit,Moisture,Adverse Weather Conditions,DayNight,Crash Type,Crash Severity,Alcohol Related ,Drug Related
AUS,2,0,0,1,2017, January, Friday,17:10,60, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Tuesday,11:50,60, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS,2,0,0,0,2017, February, Wednesday,11:20,50, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS,2,0,0,0,2017, March, Sunday,3:50,60, Dry, N, Night, Hit Fixed Object, Not Injured, Y, N
AUS,3,0,0,0,2017, January, Sunday,4:00,50, Dry, N, Night, Hit Fixed Object, Not Injured, Y, N
AUS,2,0,0,0,2017, January, Sunday,3:30,50, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS,2,0,0,1,2017, January, Sunday,8:20,60, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS,2,0,0,7,2017, January, Sunday,8:30,60, Dry, N, Daylight, Head On, Minor Injury, N, Y
AUS,2,0,0,1,2017, January, Sunday,11:50,110, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Sunday,1:50,60, Dry, N, Night, Hit Pedestrian, Not Injured, N, N
AUS,2,0,0,0,2017, January, Sunday,18:50,60, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS,2,0,0,1,2017, January, Sunday,21:30,70, Dry, N, Night, Hit Fixed Object, Minor Injury, N, Y
AUS,2,0,1,0,2017, January, Sunday,22:00,60, Dry, N, Night, Right Angle, Major Injury, N, N
AUS,2,0,0,0,2017, January, Sunday,2:30,50, Dry, N, Night, Hit Fixed Object, Not Injured, Y, Y
AUS,3,0,0,0,2017, January, Monday,0:10,60, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS,2,0,0,1,2017, January, Sunday,14:10,60, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Monday,7:00,60, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS,3,0,0,0,2017, January, Monday,4:00,80, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS,2,0,0,0,2017, January, Monday,10:10,60, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS,2,0,0,0,2017, January, Monday,10:50,50, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS,2,0,0,1,2017, January, Monday,13:20,110, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Sunday,15:20,110, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS,2,0,0,0,2017, January, Monday,14:20,60, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS,2,0,0,0,2017, January, Monday,14:30,60, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS,2,0,0,0,2017, January, Monday,13:10,50, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS,2,0,0,0,2017, January, Monday,16:00,80, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS,2,0,0,1,2017, January, Monday,12:10,60, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS,2,0,0,1,2017, January, Monday,18:40,50, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Monday,19:40,60, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS,2,0,0,1,2017, January, Monday,19:30,60, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS,3,0,0,1,2017, January, Monday,10:20,60, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Tuesday,6:50,60, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS,4,0,0,2,2017, January, Tuesday,5:50,60, Dry, N, Daylight, Head On, Minor Injury, N, N
AUS,2,0,0,1,2017, January, Monday,14:40,80, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Tuesday,10:50,60, Dry, N, Daylight, Hit Pedestrian, Not Injured, N, N
AUS,2,0,0,1,2017, January, Tuesday,12:10,50, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Tuesday,7:00,60, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS,3,0,0,0,2017, January, Monday,22:30,80, Dry, N, Night, Side Swipe, Not Injured, N, N
AUS,2,0,0,0,2017, January, Tuesday,10:30,90, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS,2,0,0,1,2017, January, Tuesday,11:40,60, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Tuesday,12:20,60, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS,3,0,0,0,2017, January, Tuesday,11:20,50, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS,2,0,0,1,2017, January, Monday,19:30,80, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS,2,0,0,1,2017, January, Monday,21:20,100, Dry, N, Night, Hit Fixed Object, Minor Injury, N, N
AUS,3,0,0,0,2017, January, Monday,20:00,60, Dry, N, Night, Rear End, Not Injured, N, N
AUS,3,0,0,0,2017, January, Tuesday,14:30,60, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS,2,0,0,0,2017, January, Tuesday,16:30,60, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS,2,0,0,1,2017, January, Tuesday,14:30,50, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Tuesday,15:40,60, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS,2,0,0,0,2017, January, Tuesday,15:10,80, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS,2,0,0,1,2017, January, Tuesday,14:40,60, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Tuesday,17:20,60, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS,2,0,0,0,2017, January, Tuesday,18:00,80, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS,2,0,0,1,2017, January, Tuesday,17:20,80, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Tuesday,17:40,60, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS,2,0,0,0,2017, January, Tuesday,14:40,60, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS,2,0,0,0,2017, January, Tuesday,15:20,50, Dry, N, Daylight, Hit Pedestrian, Not Injured, N, N
AUS,2,0,2,0,2017, January, Tuesday,17:10,100, Dry, N, Daylight, Head On, Major Injury, Y, N
AUS,2,0,0,0,2017, January, Tuesday,14:40,50, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS,2,0,0,1,2017, January, Wednesday,8:20,80, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS,2,0,0,1,2017, January, Wednesday,7:00,70, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS,2,0,0,1,2017, January, Tuesday,17:50,60, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Tuesday,11:20,60, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS,2,0,0,1,2017, January, Monday,18:40,60, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Tuesday,19:30,60, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS,2,0,0,1,2017, January, Wednesday,11:00,60, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Tuesday,11:40,50, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS,2,0,0,0,2017, January, Wednesday,11:20,60, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS,2,0,1,4,2017, January, Wednesday,14:10,60, Dry, N, Daylight, Right Angle, Major Injury, N, N
AUS,2,0,0,1,2017, January, Wednesday,14:20,50, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS,2,0,0,1,2017, January, Wednesday,14:00,50, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS,2,0,0,1,2017, January, Wednesday,15:30,60, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS,3,0,0,4,2017, January, Wednesday,13:20,60, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS,3,0,0,1,2017, January, Wednesday,16:10,60, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS,2,0,0,2,2017, January, Tuesday,10:00,50, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS,2,0,0,1,2017, January, Wednesday,19:30,50, Dry, N, Daylight, Hit Fixed Object, Minor Injury, Y, N
AUS,2,0,0,0,2017, March, Saturday,22:30,80, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS,2,0,0,0,2017, January, Wednesday,20:50,60, Dry, N, Night, Hit Fixed Object, Not Injured, Y, N
AUS,2,0,0,0,2017, January, Thursday,4:30,50, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS,2,0,2,1,2017, January, Wednesday,13:40,100, Dry, N, Daylight, Hit Fixed Object, Major Injury, N, N
AUS,2,0,0,0,2017, January, Thursday,7:00,60, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS,2,0,0,1,2017, January, Wednesday,14:00,60, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS,3,0,0,0,2017, January, Thursday,9:00,80, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS,2,0,0,0,2017, January, Wednesday,9:10,50, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS,2,0,0,0,2017, January, Thursday,10:30,50, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS,2,0,0,0,2017, January, Tuesday,10:00,50, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS,2,0,0,0,2017, January, Wednesday,12:00,60, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS,2,0,0,1,2017, January, Thursday,9:20,60, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Wednesday,14:20,60, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS,2,0,0,0,2017, January, Thursday,11:50,50, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS,2,0,0,0,2017, January, Thursday,10:40,60, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS,2,0,0,0,2017, January, Thursday,12:50,50, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS,2,0,0,0,2017, January, Tuesday,16:40,50, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS,2,0,0,4,2017, January, Wednesday,17:20,90, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Thursday,13:30,60, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS,2,0,0,0,2017, January, Thursday,14:20,100, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS,4,0,2,1,2017, January, Wednesday,17:20,60, Dry, N, Daylight, Rear End, Major Injury, N, N
AUS,2,0,0,0,2017, January, Thursday,7:20,110, Wet, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS,2,0,0,0,2017, January, Thursday,16:00,60, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS,2,0,0,0,2017, January, Thursday,17:20,60, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS,2,0,0,0,2017, January, Thursday,17:20,60, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS,2,0,1,0,2017, January, Thursday,11:00,60, Dry, N, Daylight, Side Swipe, Major Injury, N, N
AUS,2,0,0,0,2017, January, Thursday,1:00,60, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS,2,0,0,0,2017, January, Thursday,15:10,60, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS,2,0,0,1,2017, January, Thursday,18:30,40, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Thursday,17:10,60, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS,4,0,0,0,2017, January, Thursday,18:20,60, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS,2,0,0,0,2017, January, Thursday,19:30,60, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS,2,0,0,0,2017, January, Thursday,19:10,60, Dry, N, Daylight, Right Angle, Not Injured, Y, N
AUS,3,0,0,0,2017, January, Thursday,13:30,60, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS,3,0,1,0,2017, January, Thursday,13:20,110, Dry, N, Daylight, Rear End, Major Injury, N, N
AUS,3,0,0,2,2017, January, Wednesday,13:20,50, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS,2,0,0,0,2017, January, Friday,8:00,60, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS,2,0,0,0,2017, January, Thursday,11:00,50, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS,2,0,0,0,2017, January, Thursday,17:20,100, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS,2,0,0,0,2017, January, Thursday,16:20,60, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS,2,0,1,0,2017, January, Friday,7:20,100, Dry, N, Daylight, Head On, Major Injury, N, N
AUS,2,0,0,0,2017, January, Friday,10:20,60, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS,2,0,0,1,2017, January, Friday,10:00,60, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS,3,0,0,0,2017, January, Friday,11:40,60, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS,2,0,0,0,2017, January, Friday,8:30,60, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS,2,0,0,1,2017, January, Friday,14:40,60, Dry, N, Daylight, Hit Pedestrian, Minor Injury, N, N
