Speed Limit,,Average
100,,70.46728972
10,,
110,,
90,,
10,,
110,,
50,,
70,,
50,,
50,,
110,,
100,,
50,,
110,,
110,,
60,,
60,,
110,,
80,,
100,,
80,,
100,,
60,,
60,,
50,,
40,,
110,,
100,,
110,,
60,,
50,,
50,,
50,,
50,,
100,,
80,,
80,,
110,,
50,,
90,,
60,,
100,,
80,,
60,,
60,,
80,,
80,,
60,,
80,,
100,,
10,,
80,,
60,,
100,,
110,,
40,,
110,,
60,,
60,,
50,,
110,,
60,,
100,,
110,,
100,,
100,,
60,,
60,,
30,,
50,,
50,,
60,,
80,,
110,,
50,,
20,,
90,,
90,,
40,,
60,,
70,,
60,,
40,,
80,,
60,,
60,,
60,,
70,,
90,,
40,,
70,,
90,,
70,,
40,,
60,,
60,,
90,,
40,,
40,,
60,,
60,,
40,,
70,,
40,,
40,,
90,,
60,,
