Nation,Total Units,Total Fatalities,Total Serious Injuries,Total Minor Injuries,Year,Month,Day,Time,Speed Limit,Moisture,Adverse Weather Conditions,DayNight,Crash Type,Crash Severity,Alcohol Related ,Drug Related
AUS, 2, 0, 0, 1, 2017, January, Friday, 05:10 pm, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 11:50 am, 060, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, February, Wednesday, 11:18 am, 050, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, March, Sunday, 03:50 am, 060, Dry, N, Night, Hit Fixed Object, Not Injured, Y, N
AUS, 3, 0, 0, 0, 2017, January, Sunday, 04:00 am, 050, Dry, N, Night, Hit Fixed Object, Not Injured, Y, N
AUS, 2, 0, 0, 0, 2017, January, Sunday, 03:30 am, 050, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Sunday, 08:19 am, 060, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 7, 2017, January, Sunday, 08:30 am, 060, Dry, N, Daylight, Head On, Minor Injury, N, Y
AUS, 2, 0, 0, 1, 2017, January, Sunday, 11:50 am, 110, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Sunday, 01:45 am, 060, Dry, N, Night, Hit Pedestrian, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Sunday, 06:45 pm, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Sunday, 09:30 pm, 070, Dry, N, Night, Hit Fixed Object, Minor Injury, N, Y
AUS, 2, 0, 1, 0, 2017, January, Sunday, 10:00 pm, 060, Dry, N, Night, Right Angle, Major Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Sunday, 02:30 am, 050, Dry, N, Night, Hit Fixed Object, Not Injured, Y, Y
AUS, 3, 0, 0, 0, 2017, January, Monday, 12:05 am, 060, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
