Speed Limit,,Average
60,,59.30039186
50,,
60,,
50,,
50,,
60,,
60,,
50,,
60,,
60,,
80,,
60,,
50,,
110,,
60,,
60,,
50,,
80,,
60,,
60,,
60,,
60,,
80,,
90,,
60,,
50,,
60,,
60,,
60,,
60,,
80,,
60,,
80,,
60,,
60,,
50,,
50,,
60,,
60,,
50,,
60,,
80,,
60,,
50,,
60,,
80,,
50,,
50,,
50,,
60,,
60,,
50,,
60,,
50,,
50,,
60,,
100,,
110,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
50,,
100,,
60,,
60,,
60,,
60,,
60,,
90,,
100,,
60,,
60,,
60,,
50,,
110,,
60,,
60,,
60,,
50,,
60,,
80,,
60,,
60,,
50,,
50,,
60,,
80,,
110,,
60,,
50,,
50,,
100,,
100,,
50,,
50,,
60,,
60,,
50,,
70,,
80,,
70,,
80,,
100,,
50,,
80,,
50,,
80,,
60,,
60,,
50,,
110,,
60,,
60,,
60,,
50,,
60,,
60,,
50,,
60,,
60,,
60,,
110,,
70,,
60,,
100,,
50,,
60,,
60,,
60,,
60,,
60,,
60,,
50,,
50,,
60,,
60,,
50,,
60,,
50,,
60,,
50,,
80,,
50,,
80,,
60,,
60,,
50,,
60,,
80,,
60,,
70,,
60,,
90,,
60,,
60,,
60,,
50,,
110,,
70,,
50,,
60,,
50,,
70,,
60,,
90,,
80,,
40,,
70,,
60,,
60,,
50,,
50,,
50,,
60,,
60,,
60,,
60,,
50,,
50,,
60,,
80,,
50,,
60,,
60,,
40,,
100,,
60,,
60,,
50,,
50,,
60,,
60,,
60,,
50,,
100,,
60,,
60,,
100,,
80,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
80,,
50,,
60,,
60,,
80,,
60,,
50,,
60,,
60,,
60,,
50,,
60,,
110,,
50,,
50,,
80,,
50,,
60,,
60,,
60,,
60,,
80,,
60,,
60,,
60,,
60,,
100,,
60,,
50,,
60,,
70,,
80,,
100,,
80,,
50,,
50,,
50,,
60,,
100,,
60,,
100,,
110,,
60,,
60,,
60,,
60,,
60,,
60,,
80,,
50,,
50,,
60,,
60,,
110,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
90,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
50,,
50,,
60,,
80,,
50,,
60,,
60,,
110,,
60,,
50,,
60,,
100,,
60,,
80,,
60,,
60,,
60,,
100,,
60,,
60,,
60,,
50,,
110,,
60,,
90,,
60,,
60,,
60,,
60,,
60,,
50,,
50,,
60,,
60,,
60,,
60,,
50,,
60,,
60,,
60,,
60,,
