Nation,Total Units,Total Fatalities,Total Serious Injuries,Total Minor Injuries,Year,Month,Day,Time,Speed Limit,Moisture,Adverse Weather Conditions,DayNight,Crash Type,Crash Severity,Alcohol Related ,Drug Related
US,2,0,0,0,2017, June, Wednesday,0.00,24, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
US,2,0,0,0,2017, September, Wednesday,0.00,24, Dry, N, Daylight, Hit Pedestrian, Minor Injury, N, N
US,2,0,0,0,2017, December, Saturday,0.00,32, Dry, Y, Daylight, Head On, Not Injured, N, N
US,2,0,0,0,2017, January, Sunday,0.00,40, Dry, N, Night, Right Angle, Not Injured, N, Y
US,2,0,0,1,2017, February, Tuesday,0.00,40, Dry, N, Daylight, Right Angle, Minor Injury, N, N
US,2,0,0,0,2017, February, Monday,0.00,40, Dry, N, Daylight, Right Angle, Not Injured, N, N
US,2,0,0,1,2017, February, Tuesday,0.00,40, Dry, N, Daylight, Right Angle, Minor Injury, N, N
US,2,0,0,0,2017, February, Saturday,0.00,40, Dry, N, Daylight, Right Angle, Not Injured, N, N
US,2,0,0,0,2017, March, Thursday,0.00,40, Dry, N, Daylight, Head On, Not Injured, N, N
US,2,0,0,0,2017, March, Sunday,0.00,40, Dry, N, Daylight, Right Angle, Not Injured, N, N
US,2,0,0,1,2017, April, Monday,0.00,40, Dry, N, Daylight, Rear End, Minor Injury, N, N
US,3,0,0,1,2017, April, Saturday,0.00,40, Dry, N, Night, Rear End, Minor Injury, N, N
US,2,0,0,0,2017, April, Sunday,0.00,40, Dry, N, Night, Side Swipe, Not Injured, N, N
US,2,0,0,0,2017, June, Wednesday,0.00,40, Dry, N, Night, Side Swipe, Not Injured, N, N
US,2,0,0,1,2017, June, Tuesday,0.00,40, Dry, N, Daylight, Right Angle, Minor Injury, N, N
US,2,0,0,0,2017, June, Sunday,0.00,40, Dry, N, Daylight, Side Swipe, Not Injured, N, N
US,2,0,0,0,2017, July, Saturday,0.00,40, Dry, N, Daylight, Right Angle, Not Injured, N, N
US,2,0,0,0,2017, July, Wednesday,0.00,40, Dry, N, Daylight, Right Angle, Not Injured, N, N
US,3,0,0,0,2017, July, Friday,0.00,40, Dry, N, Daylight, Right Angle, Not Injured, N, N
US,2,0,0,0,2017, July, Tuesday,0.00,40, Dry, N, Daylight, Right Angle, Not Injured, N, N
US,2,0,0,0,2017, July, Saturday,0.00,40, Wet, Y, Daylight, Rear End, Not Injured, N, N
US,2,0,0,0,2017, August, Wednesday,0.00,40, Dry, N, Daylight, Right Angle, Not Injured, N, N
US,2,0,0,0,2017, August, Wednesday,0.00,40, Dry, N, Daylight, Rear End, Minor Injury, N, N
US,3,0,0,0,2017, August, Thursday,0.00,40, Dry, N, Daylight, Right Angle, Not Injured, N, N
US,2,0,0,2,2017, August, Saturday,0.00,40, Wet, N, Night, Right Angle, Minor Injury, Y, N
US,2,0,0,1,2017, August, Saturday,0.00,40, Dry, N, Daylight, Right Angle, Minor Injury, N, N
US,2,0,0,0,2017, August, Wednesday,0.00,40, Dry, N, Daylight, Side Swipe, Not Injured, N, N
US,2,0,0,0,2017, September, Sunday,0.00,40, Wet, Y, Night, Rear End, Not Injured, N, N
US,2,0,0,0,2017, September, Thursday,0.00,40, Dry, N, Night, Rear End, Not Injured, Y, N
