Symbol	P98
1-Mar	10.82201134
2-Mar	13.52303578
3-Mar	9.079113135
5-Mar	9.582699179
6-Mar	12.99261201
7-Mar	12.19751978
8-Mar	13.3886925
9-Mar	10.06429066
1-Sep	12.36950556
2-Sep	12.75247376
5-Sep	10.36923047
6-Sep	12.41575191
7-Sep	12.56902893
8-Sep	6.71042444
9-Sep	14.2251752
10-Sep	7.401255856
11-Sep	9.127693728
14-Sep	7.455192175
15-Sep	12.2400186
A1BG	7.587050361
AAAS	10.18554943
AACS	8.073041045
AADAT	7.645409303
AAED1	8.058395294
AAGAB	9.679760619
AAK1	11.33020525
AAMP	10.90417849
AAR2	9.720584114
AARS	10.75375083
AARS2	9.336612667
AARSD1	8.854998218
AASDH	8.36262855
AASDHPPT	9.473037347
AATF	10.56813558
AATK	10.84415847
ABAT	8.739286485
ABCA1	9.608859007
ABCA12	6.899771464
ABCA13	10.24441298
ABCA2	11.23952894
ABCA3	9.222954989
ABCA4	7.433908727
ABCA5	10.14262988
ABCA6	6.962850675
ABCA7	13.53465417
ABCA9	8.296077245
ABCB1	8.043840724
ABCB10	10.70008067
ABCB5	7.096847561
ABCB6	9.327463664
ABCB7	9.403365061
ABCB8	9.942338913
ABCC1	10.91749
ABCC10	9.834322697
ABCC11	6.783474655
ABCC13	12.32737205
ABCC2	7.765075507
ABCC3	8.739286485
ABCC4	9.604104795
ABCC5	9.0445176
ABCC6	7.716726226
ABCC8	7.160940487
ABCC9	7.916422662
ABCD1	9.500330329
ABCD2	8.422189244
ABCD3	9.639088763
ABCD4	9.840659075
ABCE1	10.56159317
ABCF1	10.83941406
ABCF2	9.879944793
ABCF3	10.49643276
ABCG1	9.270812514
ABCG2	10.46532122
ABHD10	10.16800247
ABHD11	7.222392936
ABHD12	8.406469483
ABHD13	10.05913221
ABHD14A	8.473923274
ABHD14A-ACY1	8.244093379
ABHD14B	11.39063236
ABHD15	8.991631007
ABHD16A	8.736714685
ABHD16B	7.125258627
ABHD2	12.11188671
ABHD3	10.49935769
ABHD4	10.05913221
ABHD5	11.09141942
ABHD6	7.498849314
ABHD8	8.787172557
ABI1	11.81002569
ABI2	9.199260898
ABI3	9.454080298
ABL1	9.107240961
ABLIM1	12.85352892
ABLIM3	8.777472591
ABP1	4.728317894
ABR	11.86481518
ABRACL	10.81646535
ABT1	10.13771411
ABTB1	14.30315673
ABTB2	7.627252284
ACAA1	11.51630284
ACAA2	10.41370868
ACACA	9.101010698
ACACB	9.589773475
ACAD10	9.262889557
ACAD11	9.135368786
ACAD8	10.34166025
ACAD9	9.655903741
ACADM	10.17755527
ACADS	9.059952983
ACADSB	9.727758691
ACADVL	12.74845669
ACAP1	13.78148192
ACAP2	12.05332252
ACAP3	10.64146125
ACAT1	9.527471839
ACAT2	9.426795801
ACBD3	10.03381718
ACBD4	9.230819769
ACBD5	9.527471839
ACBD6	8.473923274
ACCS	8.67138531
ACD	9.360974623
ACE	8.002941136
ACER3	8.998460843
ACIN1	12.73459133
ACLY	11.61098642
ACN9	8.399583699
ACO1	8.244093379
ACO2	11.42890683
ACOT1	6.002734638
ACOT11	7.125258627
ACOT13	9.662703688
ACOT7	8.322212377
ACOT8	8.90657249
ACOT9	9.497071557
ACOX1	11.42445097
ACOX3	8.593574954
ACOXL	9.336612667
ACP1	12.86153039
ACP2	9.023996362
ACP5	11.81116647
ACP6	8.002941136
ACPL2	8.599925323
ACPP	7.980815032
ACRBP	9.403365061
ACRC	7.79862225
ACSF2	8.322212377
ACSF3	9.922195512
ACSL1	13.8688663
ACSL3	9.493812786
ACSL4	10.64146125
ACSL5	10.87893508
ACSL6	11.39419488
ACSM3	8.016466125
ACSS1	10.65547087
ACSS2	10.37907117
ACTA2	10.79120019
ACTB	16.8828896
ACTG1	15.21851209
ACTG2	9.327463664
ACTL6A	9.713409537
ACTN1	13.5014591
ACTN2	6.556591232
ACTN4	12.56719404
ACTR10	11.35508941
ACTR1A	12.22964247
ACTR1B	11.19692756
ACTR2	13.95339033
ACTR3	13.89254862
ACTR3B	7.598368334
ACTR5	8.864301826
ACTR6	9.706983176
ACTR8	8.898919051
ACVR1	8.570638618
ACVR1B	8.79647284
ACVR2A	8.377675942
ACY1	7.353881291
ADA	9.127693728
ADAL	7.274007316
ADAM10	10.96579338
ADAM15	11.74772562
ADAM17	9.984851291
ADAM19	11.77764144
ADAM22	8.029731367
ADAM23	7.125258627
ADAM28	8.334509677
ADAM3A	7.498849314
ADAM8	13.47840662
ADAM9	8.76561086
ADAMTS10	8.753749129
ADAMTS12	7.06756604
ADAMTS13	7.945295201
ADAMTS2	6.933908303
ADAMTSL2	7.936974035
ADAMTSL4	9.058949849
ADAMTSL5	7.274007316
ADAP1	10.85958092
ADAP2	8.322212377
ADAR	14.09548481
ADARB1	8.167970622
ADAT1	8.678410668
ADAT2	8.834838527
ADCK1	7.800430036
ADCK2	9.110754117
ADCK3	10.91749
ADCK4	10.63664851
ADCK5	8.552264684
ADCY10P1	8.139480478
ADCY3	8.597835518
ADCY4	8.597835518
ADCY7	12.63308237
ADCY9	7.835848461
ADD1	13.82130927
ADD2	8.662785785
ADD3	13.18824803
ADGB	8.79647284
ADH1C	7.476035192
ADH5	10.92031056
ADHFE1	7.390673381
ADI1	10.62713147
ADIPOR1	16.54658632
ADIPOR2	11.08326154
ADK	8.948083887
ADM	8.891286805
ADNP	10.72066435
ADNP2	8.825873911
ADO	9.507650464
ADORA2A	11.18672342
ADORA2A-AS1	6.933908303
ADORA3	7.195392851
ADPGK	9.31808855
ADPRH	8.296077245
ADPRHL2	10.05438738
ADPRM	8.94063979
ADRB2	8.215568807
ADRBK1	14.40762451
ADRBK2	10.03381718
ADRM1	11.31656249
ADSL	10.71114817
ADSS	12.2617013
ADTRP	7.587050361
AEBP1	9.050357941
AEBP2	7.342922824
AEN	9.967502441
AES	13.23733306
AFAP1	7.587050361
AFAP1L1	7.222392936
AFF1	8.073478237
AFF2	8.302182575
AFF3	9.489383119
AFF4	10.51647938
AFG3L1P	7.274007316
AFG3L2	10.05913221
AFMID	7.426365302
AFTPH	10.1750805
AGA	8.678899043
AGAP1	7.373622867
AGAP11	7.521896706
AGAP2	11.53444294
AGAP3	7.609309967
AGAP5	8.94063979
AGAP6	8.058395294
AGAP7	6.818779466
AGBL5	9.074643485
AGER	9.02342055
AGFG1	11.78267064
AGFG2	9.713409537
AGGF1	9.907738128
AGK	10.0690224
AGL	9.75073998
AGMAT	8.727696984
AGPAT1	9.760183647
AGPAT2	10.7520089
AGPAT3	12.04150935
AGPAT4	8.753749129
AGPAT5	9.298378764
AGPAT6	11.31872343
AGPAT9	10.12843781
AGPS	10.56379943
AGRN	7.390673381
AGTPBP1	11.85953527
AGTRAP	11.85732115
AGXT2L2	11.14086312
AHCTF1	11.34924097
AHCY	10.51309759
AHCYL1	11.12034918
AHCYL2	10.3016371
AHDC1	7.957742132
AHI1	9.527471839
AHNAK	10.78996457
AHR	9.821244563
AHSA1	11.07075492
AHSA2	10.92031056
AHSP	15.3545279
AIDA	12.95125184
AIF1	8.263806951
AIFM1	9.552934277
AIFM2	8.139480478
AIFM3	7.146120206
AIG1	8.389182412
AIM1	12.07966356
AIM2	8.152901729
AIMP1	10.30940321
AIMP2	7.034815123
AIP	11.71058336
AK1	12.29695219
AK2	11.67771581
AK3	9.999483638
AK5	7.707357691
AKAP1	8.377675942
AKAP10	10.24898089
AKAP11	10.65405732
AKAP13	12.60894684
AKAP2	9.984851291
AKAP5	7.750141311
AKAP7	8.527976579
AKAP8	10.46284839
AKAP8L	11.69577087
AKAP9	10.40266734
AKD1	7.884133845
AKIP1	7.56262845
AKIRIN1	11.84028022
AKIRIN2	10.70008067
AKNA	13.98210956
AKR1A1	10.51000613
AKR1B1	10.92271194
AKR1C3	7.14188101
AKR7A2	10.02702861
AKT1	11.90998652
AKT1S1	11.30164878
AKT2	12.94238915
AKT3	9.671330558
AKTIP	10.27759936
ALAD	11.6909901
ALAS1	10.02789273
ALAS2	17.7325369
ALCAM	9.579333186
ALDH16A1	11.10623068
ALDH18A1	9.308233657
ALDH1A1	9.575887065
ALDH1A2	8.983556167
ALDH1B1	7.096847561
ALDH1L1	7.160940487
ALDH1L2	7.931898698
ALDH2	11.23942531
ALDH3A2	8.374324324
ALDH3B1	11.4830732
ALDH4A1	8.308287904
ALDH5A1	11.56868327
ALDH7A1	7.160940487
ALDH9A1	10.54366369
ALDOA	14.54185015
ALDOC	10.23117728
ALG1	8.991631007
ALG10B	8.766458805
ALG12	9.56245984
ALG13	8.36262855
ALG1L9P	9.339817457
ALG2	8.945006076
ALG3	9.251265641
ALG5	8.4376854
ALG6	9.142447844
ALG8	9.187369739
ALG9	8.28343734
ALKBH1	8.486804083
ALKBH3	7.988651513
ALKBH4	8.20424613
ALKBH5	11.96072135
ALKBH6	7.672611815
ALKBH7	10.31816276
ALKBH8	8.448513004
ALMS1	8.448513004
ALOX12	8.915008715
ALOX15	8.308287904
ALOX15B	5.602305659
ALOX5	13.58379413
ALOX5AP	13.38945693
ALPI	7.476035192
ALPK1	11.26073716
ALPL	12.28671874
ALS2	10.93279026
ALS2CL	9.690713692
ALS2CR8	7.987104129
ALYREF	9.507650464
AMACR	7.303745234
